Country,Region,Sales Person,Date of Purchase,Total,Quantity
India,East,John,5/15/2017 0:00:00,26000000,567
China,North,Bill,2/2/2016 0:00:00,100000,3000
UK,East,Thomas,9/3/2018 0:00:00,120000,345
Nepal,East,John,12/31/2013 0:00:00,200000,1000
Africa,East,Bill,11/22/2014 0:00:00,220000,123
Bhuthan,North,Thomas,2/11/2016 0:00:00,240000,1000
Mylasia,North,John,3/8/2014 0:00:00,260000,7890
India,North,Bill,2/13/2010 0:00:00,220000,200
Nepal,East,Thomas,11/20/2012 0:00:00,240000,1000
Korea,North,John,9/3/2018 0:00:00,260000,1000
Australia,North,Bill,3/18/2015 0:00:00,140000,567
Africa,East,Thomas,8/19/2011 0:00:00,150000,1000
Australia,East,John,7/8/2010 0:00:00,160000,892
Nepal,East,Bill,9/29/2015 0:00:00,200000,444
India,East,Thomas,2/3/2016 0:00:00,220000,345
Toranto,West,John,5/24/2017 0:00:00,240000,1000
UK,West,Bill,6/15/2013 0:00:00,260000,123
Quatar,West,Thomas,6/3/2018 0:00:00,260000,1000
Africa,North,John,4/23/2011 0:00:00,140000,7890
Nepal,North,Bill,11/10/2013 0:00:00,150000,200
